Date,geral,alimentos,habitacao,artigos_residencia,vestuario,transporte,comunicacao,saude,gastos_pessoais,educacao,geral_indice,alimentos_indice,habitacao_indice,artigos_residencia_indice,vestuario_indice,transporte_indice,comunicacao_indice,saude_indice,gastos_pessoais_indice,educacao_indice
12/2007,0.74,2.06,0.16,-0.43,0.72,0.71,-0.03,0,1,0.07,130.97,124.98,132.00,107.78,140.21,129.88,144.09,136.35,140.41,142.62
01/2008,0.54,1.52,0.16,0.16,-0.08,0.4,-0.03,0.41,0.54,0.2,131.68,126.88,132.21,107.95,140.10,130.40,144.05,136.91,141.17,142.90
02/2008,0.49,0.6,0.2,-0.11,-0.54,0.06,0.22,0.44,0.54,3.47,132.32,127.64,132.48,107.83,139.34,130.48,144.37,137.51,141.93,147.86
03/2008,0.48,0.89,0.65,-0.38,0.75,0.42,0.03,0.5,0.09,0.24,132.96,128.78,133.34,107.42,140.39,131.03,144.41,138.20,142.06,148.21
04/2008,0.55,1.29,0.19,0.32,1.53,-0.05,0.06,0.76,0.49,0.05,133.69,130.44,133.59,107.77,142.54,130.96,144.50,139.25,142.75,148.29
05/2008,0.79,1.95,0.32,0.17,0.98,0.33,-0.02,0.65,1.11,0.03,134.75,132.98,134.02,107.95,143.93,131.40,144.47,140.16,144.34,148.33
06/2008,0.74,2.11,0.26,0.13,0.42,0.26,0.29,0.66,0.54,0.05,135.74,135.79,134.37,108.09,144.54,131.74,144.89,141.08,145.12,148.41
07/2008,0.53,1.05,0.6,0.05,-0.03,0.46,0.36,0.47,0.51,-0.02,136.46,137.22,135.17,108.14,144.49,132.34,145.41,141.75,145.86,148.38
08/2008,0.28,-0.18,0.77,0.23,0.39,0.06,0.69,0.32,0.73,0.42,136.85,136.97,136.21,108.39,145.06,132.42,146.41,142.20,146.92,149.00
09/2008,0.26,-0.27,0.5,0.37,0.7,0.39,-0.12,0.46,0.8,-0.05,137.20,136.60,136.89,108.79,146.07,132.94,146.24,142.85,148.10,148.93
10/2008,0.45,0.69,0.62,0.4,1.27,0.02,0.17,0.26,0.68,0.02,137.82,137.54,137.74,109.23,147.93,132.97,146.48,143.22,149.11,148.96
11/2008,0.36,0.61,0.43,0.68,0.71,-0.02,0.13,0.33,0.5,0.05,138.31,138.38,138.33,109.97,148.98,132.94,146.67,143.70,149.85,149.03
12/2008,0.28,0.36,0.28,-0.04,0.99,-0.03,0,0.32,0.59,0.08,138.70,138.88,138.72,109.93,150.45,132.90,146.67,144.16,150.73,149.15
01/2009,0.48,0.75,0.49,0.45,0.05,0.35,0.05,0.55,0.65,0.34,139.37,139.92,139.40,110.42,150.53,133.36,146.75,144.95,151.71,149.66
02/2009,0.55,0.27,0.22,0.28,-0.24,0.24,0.15,0.46,0.31,4.77,140.13,140.30,139.71,110.73,150.17,133.68,146.97,145.62,152.18,156.80
03/2009,0.2,0.3,0.25,0.48,0.7,-0.07,0.05,0.37,0.35,-0.37,140.41,140.72,140.06,111.26,151.22,133.59,147.04,146.16,152.72,156.21
04/2009,0.48,0.15,0.75,-0.5,1.08,-0.21,0.08,1.1,2.14,0.09,141.09,140.93,141.11,110.71,152.85,133.31,147.16,147.76,155.99,156.36
05/2009,0.47,0.44,0.72,0.05,1.16,-0.18,-0.01,0.68,1.57,0.03,141.75,141.55,142.12,110.76,154.62,133.07,147.14,148.77,158.43,156.40
06/2009,0.36,0.7,0.27,0.84,0.53,0.02,-0.16,0.49,0.49,0.03,142.26,142.54,142.51,111.69,155.44,133.10,146.91,149.50,159.21,156.45
07/2009,0.24,-0.06,1.11,0.37,-0.01,0.14,-0.1,0.31,0.26,0.11,142.60,142.46,144.09,112.11,155.43,133.28,146.76,149.96,159.62,156.62
08/2009,0.15,-0.01,0.47,-0.24,0.13,-0.11,-0.02,0.21,0.27,0.83,142.82,142.44,144.77,111.84,155.63,133.14,146.73,150.28,160.06,157.92
