Date,geral,alimentos,habitacao,artigos_residencia,vestuario,transporte,comunicacao,saude,gastos_pessoais,educacao
10/2018,0.45,0.59,0.14,0.76,0.33,0.92,0.02,0.27,0.25,0.04
11/2018,-0.21,0.39,-0.71,0.48,-0.43,-0.74,-0.07,-0.71,0.36,0.04
12/2018,0.15,0.44,-0.15,0.57,1.14,-0.54,0.01,0.32,0.29,0.21
01/2019,0.32,0.9,0.24,0.32,-1.15,0.02,0.04,0.26,0.61,0.12
02/2019,0.43,0.78,0.38,0.2,-0.33,-0.34,0,0.49,0.18,3.53
03/2019,0.75,1.37,0.25,0.27,0.45,1.44,-0.22,0.42,0.16,0.32
04/2019,0.57,0.63,0.24,-0.24,0.18,0.94,0.03,1.51,0.17,0.09
05/2019,0.13,-0.56,0.98,-0.1,0.34,0.07,-0.03,0.59,0.16,-0.04
06/2019,0.01,-0.25,0.07,0.02,0.3,-0.31,-0.02,0.64,0.15,0.14
07/2019,0.19,0.01,1.2,0.29,-0.52,-0.17,0.57,-0.2,0.44,0.04
08/2019,0.11,-0.35,1.19,0.56,0.23,-0.39,0.09,-0.03,0.31,0.16
09/2019,-0.04,-0.43,0.02,-0.76,0.27,0,-0.01,0.58,0.04,0.04
10/2019,0.1,0.05,-0.61,-0.09,0.63,0.45,-0.01,0.4,0.2,0.03
11/2019,0.51,0.72,0.71,-0.36,0.35,0.3,-0.02,0.21,1.24,0.08
12/2019,1.15,3.38,-0.82,-0.48,0,1.54,0.66,0.42,0.92,0.2
01/2020,0.21,0.39,0.55,-0.07,-0.48,0.32,0.12,-0.32,0.35,0.16
02/2020,0.25,0.11,-0.39,-0.08,-0.73,-0.23,0.21,0.73,0.31,3.7
03/2020,0.07,1.13,0.13,-1.08,0.21,-0.9,0.04,0.21,-0.23,0.59
04/2020,-0.31,1.79,-0.1,-1.37,0.1,-2.66,-0.2,-0.22,-0.14,0
05/2020,-0.38,0.24,-0.25,0.58,-0.58,-1.9,0.24,-0.1,-0.04,0.02
06/2020,0.26,0.38,0.04,1.3,-0.46,0.31,0.75,0.35,-0.05,0.05
07/2020,0.36,0.01,0.8,0.9,-0.52,0.78,0.51,0.44,-0.11,-0.12
08/2020,0.24,0.78,0.36,0.56,-0.78,0.82,0.67,0.5,-0.01,-3.47
09/2020,0.64,2.28,0.37,1,0.37,0.7,0.15,-0.64,0.09,-0.09
10/2020,0.86,1.93,0.36,1.53,1.11,1.19,0.21,0.28,0.19,-0.04
11/2020,0.89,2.54,0.44,0.86,0.07,1.33,0.29,-0.13,0.01,-0.02
12/2020,1.35,1.74,2.88,1.76,0.59,1.36,0.39,0.4,0.65,0.48
01/2021,0.25,1.02,-1.07,0.86,-0.07,0.41,0.02,0.32,0.39,0.13
02/2021,0.86,0.27,0.4,0.66,0.38,2.28,-0.13,0.62,0.17,2.48
03/2021,0.93,0.13,0.81,0.69,0.29,3.81,-0.07,-0.02,0.04,-0.52
04/2021,0.31,0.4,0.22,0.57,0.47,-0.08,0.08,1.19,0.01,0.04
05/2021,0.83,0.44,1.78,1.25,0.92,1.15,0.21,0.76,0.21,0.06
06/2021,0.53,0.43,1.1,1.09,1.21,0.41,-0.12,0.51,0.29,0.05
07/2021,0.96,0.6,3.1,0.78,0.53,1.52,0.12,-0.65,0.45,0.18
08/2021,0.87,1.39,0.68,0.99,1.02,1.46,0.23,-0.04,0.64,0.28
09/2021,1.16,1.02,2.56,0.9,0.31,1.82,0.07,0.39,0.56,-0.01
10/2021,1.25,1.17,1.04,1.27,1.8,2.62,0.54,0.39,0.75,0.06
11/2021,0.95,-0.04,1.03,1.03,0.95,3.35,0.09,-0.57,0.57,0.02
12/2021,0.73,0.84,0.74,1.37,2.06,0.58,0.34,0.75,0.56,0.05
01/2022,0.54,1.11,0.16,1.82,1.07,-0.11,1.05,0.36,0.78,0.25
02/2022,1.01,1.28,0.54,1.76,0.88,0.46,0.29,0.47,0.64,5.61
03/2022,1.62,2.42,1.15,0.57,1.82,3.02,-0.05,0.88,0.59,0.15
04/2022,1.06,2.06,-1.14,1.53,1.26,1.91,0.08,1.77,0.48,0.06
05/2022,0.47,0.48,-1.7,0.66,2.11,1.34,0.72,1.01,0.52,0.04
06/2022,0.67,0.8,0.41,0.55,1.67,0.57,0.16,1.24,0.49,0.09
07/2022,-0.68,1.3,-1.05,0.12,0.58,-4.51,0.07,0.49,1.13,0.06
